ATTENTION: regname in Table must be the same as those in LABVIEW  testmode: 1->N 2->P 3->DIFF,,,,,,,,,,,
Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case
trmx_isense_in,BT,TMX,pmu_msadc_pu_cpus,1'b1,bt_test_enable_tmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,BT_TX_ON
bias_vl_test,BT,PA,pmu_msadc_pu_cpus,1'b1,bt_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,BT_TX_ON
bias_vm_test,BT,PA,pmu_msadc_pu_cpus,1'b1,bt_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,BT_TX_ON
refh,IO,USB,pmu_msadc_pu_cpus,1'b1,cfg_ana_test_enable_usb,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_io_test_bit,4'b0100,
refl,IO,USB,pmu_msadc_pu_cpus,1'b1,cfg_ana_test_enable_usb,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_io_test_bit,4'b0101,
,,,,,,,,,,,
wf_rxflt_vth,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h6,WF_RX_HB_ON
wf_rxflt_i_vop1,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h3,WF_RX_HB_ON
wf_rxflt_q_vop1,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h2,WF_RX_HB_ON
wf_rxflt_i_vop2,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h1,WF_RX_HB_ON
wf_rxflt_q_vop2,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h0,WF_RX_HB_ON
wf_rxflt_vcomref,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h7,WF_RX_HB_ON
wf_rxflt_vcombuf,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h6,WF_RX_HB_ON
wf_rxflt_i_von1,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h3,WF_RX_HB_ON
wf_rxflt_q_von1,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h2,WF_RX_HB_ON
wf_rxflt_i_von2,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h1,WF_RX_HB_ON
wf_rxflt_q_von2,WF,rxflt,,,wf_test_enable_rxflt,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h0,WF_RX_HB_ON
,,,,,,,,,,,
wf_saradc_vthnatnfet1,WF,saradc,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'h3,WF_RX_HB_ON
wf_saradc_vgsndio,WF,saradc,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'h2,WF_RX_HB_ON
wf_saradc_vthnatnfet0,WF,saradc,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,2'h2,WF_RX_HB_ON
wf_saradc_vref,WF,saradc,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'h1,WF_RX_HB_ON
wf_saradc_dvdd,WF,saradc,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'h0,WF_RX_HB_ON
wf_saradc_vref_gatep,WF,saradc,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,2'h1,WF_RX_HB_ON
wf_saradc_vcm,WF,saradc,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,2'h0,WF_RX_HB_ON
,,,,,,,,,,,
bt_tia_vth,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h5,BT_RX_ON
bt_tia_vreg_ref,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h4,BT_RX_ON
bt_tia_vreg,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h5,BT_RX_ON
bt_tia_vcomref,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h4,BT_RX_ON
bt_tia_q_dcos,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'h3,BT_RX_ON
bt_tia_i_dcos,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'h2,BT_RX_ON
bt_tia_q_on,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h1,BT_RX_ON
bt_tia_q_op,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h1,BT_RX_ON
bt_tia_i_on,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'h0,BT_RX_ON
