ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,1670,-7.79,20.49
0,7,1672,-7.78,20.51
0,7,1674,-7.77,20.52
0,7,1676,-7.76,20.53
0,7,1678,-7.75,20.54
0,7,1680,-7.74,20.55
0,7,1682,-7.73,20.56
0,7,1684,-7.72,20.57
0,7,1686,-7.71,20.57
0,7,1688,-7.70,20.58
0,7,1690,-7.69,20.59
0,7,1692,-7.68,20.60
0,7,1694,-7.67,20.62
0,7,1696,-7.66,20.62
0,7,1698,-7.65,20.63
0,7,1700,-7.64,20.64
0,7,1702,-7.63,20.66
0,7,1704,-7.62,20.66
0,7,1706,-7.61,20.67
0,7,1708,-7.60,20.68
0,7,1710,-7.59,20.68
0,7,1712,-7.58,20.70
0,7,1714,-7.57,20.71
0,7,1716,-7.56,20.71
0,7,1718,-7.55,20.72
0,7,1720,-7.54,20.74
0,7,1722,-7.53,20.75
0,7,1724,-7.52,20.76
0,7,1726,-7.51,20.77
0,7,1728,-7.50,20.77
0,7,1730,-7.49,20.79
0,7,1732,-7.48,20.77
0,7,1734,-7.47,20.75
0,7,1736,-7.46,20.73
0,7,1738,-7.45,20.74
0,7,1740,-7.44,20.76
0,7,1742,-7.43,20.76
0,7,1744,-7.42,20.77
0,7,1746,-7.41,20.78
0,7,1748,-7.40,20.78
0,7,1750,-7.39,20.80
0,7,1752,-7.38,20.81
0,7,1754,-7.37,20.81
0,7,1756,-7.36,20.83
0,7,1758,-7.35,20.84
0,7,1760,-7.34,20.84
0,7,1762,-7.33,20.86
0,7,1764,-7.32,20.86
0,7,1766,-7.31,20.88
0,7,1768,-7.30,20.89
0,7,1770,-7.29,20.88
0,7,1772,-7.28,20.91
0,7,1774,-7.27,20.91
0,7,1776,-7.26,20.92
0,7,1778,-7.25,20.93
0,7,1780,-7.24,20.94
0,7,1782,-7.23,20.95
0,7,1784,-7.22,20.97
