test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current
0821_194332,5,0.4,-30,testmode_8819h_820_high_apc,2442,7,18,7.92,2446.06,200.59
0821_194337,5,0.4,0,testmode_8819h_820_high_apc,2442,7,18,6.77,2446.06,200.5
0821_194343,5,0.4,30,testmode_8819h_820_high_apc,2442,7,18,5.85,2446.08,200.26
0821_194349,5,0.4,60,testmode_8819h_820_high_apc,2442,7,18,5.25,2446.06,200.18
0821_194354,5,0.4,90,testmode_8819h_820_high_apc,2442,7,18,5.03,2446.08,199.96
0821_194400,5,0.4,120,testmode_8819h_820_high_apc,2442,7,18,5.1,2446.06,199.9
0821_194406,5,0.4,150,testmode_8819h_820_high_apc,2442,7,18,5.55,2446.06,199.76
0821_194411,5,0.3,-180,testmode_8819h_820_high_apc,2442,7,18,6.96,2446.06,199.72
0821_194417,5,0.3,-150,testmode_8819h_820_high_apc,2442,7,18,7.88,2446.06,199.78
0821_194422,5,0.3,-120,testmode_8819h_820_high_apc,2442,7,18,8.68,2446.06,199.75
0821_194428,5,0.3,-90,testmode_8819h_820_high_apc,2442,7,18,9.07,2446.06,200.11
0821_194434,5,0.3,-60,testmode_8819h_820_high_apc,2442,7,18,8.79,2446.06,200.4
0821_194439,5,0.3,-30,testmode_8819h_820_high_apc,2442,7,18,8.04,2446.06,200.32
0821_194445,5,0.3,0,testmode_8819h_820_high_apc,2442,7,18,7.19,2446.06,200.31
0821_194451,5,0.3,30,testmode_8819h_820_high_apc,2442,7,18,6.46,2446.06,200.26
0821_194456,5,0.3,60,testmode_8819h_820_high_apc,2442,7,18,5.97,2446.06,200.16
0821_194502,5,0.3,90,testmode_8819h_820_high_apc,2442,7,18,5.75,2446.08,200.02
0821_194508,5,0.3,120,testmode_8819h_820_high_apc,2442,7,18,5.84,2446.06,199.94
0821_194513,5,0.3,150,testmode_8819h_820_high_apc,2442,7,18,6.21,2446.06,199.8
0821_194519,5,0.2,-180,testmode_8819h_820_high_apc,2442,7,18,7.32,2446.06,199.77
0821_194524,5,0.2,-140,testmode_8819h_820_high_apc,2442,7,18,8.11,2446.06,199.72
0821_194530,5,0.2,-100,testmode_8819h_820_high_apc,2442,7,18,8.65,2446.08,200.04
0821_194536,5,0.2,-60,testmode_8819h_820_high_apc,2442,7,18,8.54,2446.08,200.27
0821_194541,5,0.2,-20,testmode_8819h_820_high_apc,2442,7,18,7.9,2446.06,200.16
0821_194547,5,0.2,20,testmode_8819h_820_high_apc,2442,7,18,7.15,2446.06,200.19
0821_194553,5,0.2,60,testmode_8819h_820_high_apc,2442,7,18,6.6,2446.06,200.11
0821_194558,5,0.2,100,testmode_8819h_820_high_apc,2442,7,18,6.42,2446.06,199.93
0821_194604,5,0.2,140,testmode_8819h_820_high_apc,2442,7,18,6.7,2446.06,199.87
0821_194610,5,0.1,-180,testmode_8819h_820_high_apc,2442,7,18,7.59,2446.06,199.92
0821_194615,5,0.1,-140,testmode_8819h_820_high_apc,2442,7,18,7.95,2446.06,199.91
0821_194621,5,0.1,-100,testmode_8819h_820_high_apc,2442,7,18,8.21,2446.06,199.91
0821_194627,5,0.1,-60,testmode_8819h_820_high_apc,2442,7,18,8.16,2446.08,200.05
0821_194632,5,0.1,-20,testmode_8819h_820_high_apc,2442,7,18,7.86,2446.06,200.25
0821_194638,5,0.1,20,testmode_8819h_820_high_apc,2442,7,18,7.49,2446.06,200.11
0821_194643,5,0.1,60,testmode_8819h_820_high_apc,2442,7,18,7.18,2446.08,200.12
0821_194649,5,0.1,100,testmode_8819h_820_high_apc,2442,7,18,7.15,2446.06,200.0
0821_194655,5,0.1,140,testmode_8819h_820_high_apc,2442,7,18,7.3,2446.06,200.01
0821_194700,5,0.0,0,testmode_8819h_820_high_apc,2442,7,18,7.64,2446.06,200.12
