ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,138,2880,69.19,20.46,21.56,111.16,143.27
0,138,2944,69.38,20.60,21.72,114.77,148.68
0,138,3008,69.57,20.74,21.89,118.57,154.64
0,138,3072,69.75,20.91,22.04,123.19,160.04
0,138,3136,69.93,21.06,22.20,127.61,165.85
0,138,3200,70.10,21.20,22.36,131.90,172.00
0,138,3264,70.28,21.36,22.51,136.88,178.26
0,138,3328,70.44,21.50,22.66,141.16,184.53
0,138,3392,70.61,21.64,22.81,145.77,191.08
0,138,3456,70.77,21.76,22.93,149.94,196.54
0,138,3520,70.93,21.83,23.01,152.56,200.16
0,138,3584,71.09,21.83,23.00,152.38,199.76
0,138,3648,71.24,21.83,23.01,152.56,199.84
0,138,3712,71.39,21.83,23.01,152.56,199.80
0,138,3776,71.54,21.83,23.01,152.38,199.86
0,138,3840,71.69,21.82,23.00,152.23,199.69
0,138,3904,71.83,21.84,23.00,152.86,199.54
0,138,3968,71.97,21.81,23.00,151.75,199.74
0,138,4032,72.11,21.82,23.00,152.01,199.66
