ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,106,1728,64.75,13.90,14.29,24.54,26.87
1,106,1792,65.07,14.32,14.60,27.05,28.82
1,106,1856,65.37,14.61,14.90,28.93,30.92
1,106,1920,65.67,14.82,15.20,30.34,33.09
1,106,1984,65.95,15.12,15.46,32.51,35.17
1,106,2048,66.23,15.39,15.74,34.62,37.48
1,106,2112,66.49,15.65,15.94,36.72,39.29
1,106,2176,66.75,15.86,16.18,38.53,41.53
1,106,2240,67.00,16.19,16.43,41.63,43.99
1,106,2304,67.25,16.42,16.67,43.84,46.49
1,106,2368,67.49,16.69,16.91,46.65,49.06
1,106,2432,67.72,16.90,17.13,48.93,51.68
1,106,2496,67.94,17.14,17.35,51.74,54.39
1,106,2560,68.16,17.34,17.56,54.14,56.99
1,106,2624,68.38,17.58,17.76,57.31,59.64
1,106,2688,68.59,17.73,17.95,59.34,62.42
1,106,2752,68.79,18.00,18.17,63.14,65.62
1,106,2816,68.99,18.17,18.32,65.58,67.96
1,106,2880,69.19,18.35,18.51,68.42,71.04
1,106,2944,69.38,18.53,18.67,71.23,73.68
1,106,3008,69.57,18.67,18.83,73.55,76.43
1,106,3072,69.75,18.77,18.98,75.32,79.11
1,106,3136,69.93,18.94,19.14,78.27,82.02
1,106,3200,70.10,19.11,19.32,81.56,85.57
1,106,3264,70.28,19.31,19.49,85.25,88.84
1,106,3328,70.44,19.44,19.65,87.98,92.31
1,106,3392,70.61,19.61,19.79,91.45,95.33
1,106,3456,70.77,19.75,19.94,94.33,98.69
1,106,3520,70.93,19.82,20.04,95.84,100.83
1,106,3584,71.09,19.82,20.03,95.95,100.65
1,106,3648,71.24,19.80,20.05,95.51,101.05
1,106,3712,71.39,19.82,20.03,95.88,100.81
1,106,3776,71.54,19.80,20.03,95.47,100.62
1,106,3840,71.69,19.80,20.04,95.40,100.90
1,106,3904,71.83,19.80,20.03,95.58,100.75
1,106,3968,71.97,19.83,20.03,96.06,100.64
1,106,4032,72.11,19.79,20.02,95.32,100.48
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,122,640,56.12,7.98,7.54,6.27,5.67
0,122,704,56.95,9.02,8.40,7.97,6.92
0,122,768,57.71,9.94,9.14,9.85,8.20
0,122,832,58.40,10.34,9.82,10.81,9.60
0,122,896,59.05,11.17,10.45,13.10,11.09
0,122,960,59.65,11.77,11.05,15.02,12.74
0,122,1024,60.21,12.14,11.65,16.39,14.64
