BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,18.34,-36.19
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,16,r 403422c8  [0x403422C8] = 0xD53F4B80    ,19.22,-34.80
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B90    ,20.21,-32.32
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4BA1    ,21.17,-30.32
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BB5    ,22.03,-29.55
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D99    ,22.84,-29.18
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,21,r 403422c8  [0x403422C8] = 0xDE3F4DAB    ,23.57,-28.48
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DC0    ,24.22,-27.69
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DD8    ,24.76,-26.67
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,24,r 403422c8  [0x403422C8] = 0xDF3F4FB1    ,24.16,-26.57
#A2_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,8,r 403422c8  [0x403422C8] = 0xCB3F474C    ,10.55,-40.58
#A2_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4756    ,11.67,-41.73
#A2_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F4760    ,12.68,-42.05
