CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
106,5 11,0xDF3F5F79,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5F87,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5F98,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5FAA,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5FAA,8,8,8,8,2,15,2,15
122,5 11,0xC23F5571,8,8,8,8,5,10,5,10
122,5 11,0xC23F557E,8,8,8,8,5,10,5,10
122,5 11,0xC23F558E,8,8,8,8,5,10,5,10
122,5 11,0xC23F559F,8,8,8,8,5,10,5,10
122,5 11,0xC33F5771,8,8,8,8,5,10,5,10
122,5 11,0xC33F577F,8,8,8,8,5,10,5,10
122,5 11,0xC33F578F,8,8,8,8,5,10,5,10
122,5 11,0xC33F57A0,8,8,8,8,5,10,5,10
122,5 11,0xD43F596B,8,8,8,8,5,10,5,10
122,5 11,0xD43F5978,8,8,8,8,5,10,5,10
122,5 11,0xD43F5986,8,8,8,8,5,10,5,10
122,5 11,0xD43F5997,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B66,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B72,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B80,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B90,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D64,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D70,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D7E,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D8E,8,8,8,8,5,10,5,10
122,5 11,0xDF3F5F79,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5F88,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5F99,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5FAB,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5FAB,8,8,8,8,1,13,1,13
138,5 11,0xC23F5571,8,8,8,8,4,9,4,9
138,5 11,0xC23F557E,8,8,8,8,4,9,4,9
138,5 11,0xC23F558E,8,8,8,8,4,9,4,9
138,5 11,0xC23F559F,8,8,8,8,4,9,4,9
138,5 11,0xC33F5771,8,8,8,8,4,9,4,9
138,5 11,0xC33F577F,8,8,8,8,4,9,4,9
138,5 11,0xC33F578E,8,8,8,8,4,9,4,9
138,5 11,0xC33F57A0,8,8,8,8,4,9,4,9
138,5 11,0xD43F596B,8,8,8,8,4,9,4,9
138,5 11,0xD43F5978,8,8,8,8,4,9,4,9
138,5 11,0xD43F5987,8,8,8,8,4,9,4,9
138,5 11,0xD43F5997,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B66,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B72,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B80,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B90,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D64,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D70,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D7E,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D8D,8,8,8,8,4,9,4,9
138,5 11,0xDF3F5F7B,8,8,8,8,1,13,1,13
138,5 11,0xDF3F5F8A,8,8,8,8,1,13,1,13
138,5 11,0xDF3F5F9B,8,8,8,8,1,13,1,13
138,5 11,0xDF3F5FAE,8,8,8,8,1,13,1,13
138,5 11,0xDF3F5FAE,8,8,8,8,1,13,1,13
155,5 11,0xC23F5571,8,8,8,8,3,8,3,8
155,5 11,0xC23F557E,8,8,8,8,3,8,3,8
155,5 11,0xC23F558E,8,8,8,8,3,8,3,8
155,5 11,0xC23F559F,8,8,8,8,3,8,3,8
155,5 11,0xC33F5771,8,8,8,8,3,8,3,8
155,5 11,0xC33F577E,8,8,8,8,3,8,3,8
155,5 11,0xC33F578E,8,8,8,8,3,8,3,8
155,5 11,0xC33F579F,8,8,8,8,3,8,3,8
155,5 11,0xD43F596A,8,8,8,8,3,8,3,8
155,5 11,0xD43F5977,8,8,8,8,3,8,3,8
155,5 11,0xD43F5986,8,8,8,8,3,8,3,8
155,5 11,0xD43F5996,8,8,8,8,3,8,3,8
155,5 11,0xD53F5B66,8,8,8,8,3,8,3,8
155,5 11,0xD53F5B72,8,8,8,8,3,8,3,8
155,5 11,0xD53F5B80,8,8,8,8,3,8,3,8
155,5 11,0xD53F5B90,8,8,8,8,3,8,3,8
155,5 11,0xDE3F5D65,8,8,8,8,3,8,3,8
155,5 11,0xDE3F5D71,8,8,8,8,3,8,3,8
155,5 11,0xDE3F5D7F,8,8,8,8,3,8,3,8
155,5 11,0xDE3F5D8E,8,8,8,8,3,8,3,8
155,5 11,0xDF3F5F7C,8,8,8,8,0,11,0,11
155,5 11,0xDF3F5F8B,8,8,8,8,0,11,0,11
155,5 11,0xDF3F5F9C,8,8,8,8,0,11,0,11
155,5 11,0xDF3F5FB0,8,8,8,8,0,11,0,11
155,5 11,0xDF3F5FB0,8,8,8,8,0,11,0,11
CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
42,5 11,0xC23F5587,8,8,8,8,9,16,9,16
42,5 11,0xC23F5598,8,8,8,8,9,16,9,16
42,5 11,0xC23F55AA,8,8,8,8,9,16,9,16
42,5 11,0xC33F5779,8,8,8,8,9,16,9,16
42,5 11,0xC33F5788,8,8,8,8,9,16,9,16
42,5 11,0xC33F5799,8,8,8,8,9,16,9,16
42,5 11,0xC33F57AB,8,8,8,8,9,16,9,16
42,5 11,0xD43F596F,8,8,8,8,9,16,9,16
42,5 11,0xD43F597C,8,8,8,8,9,16,9,16
42,5 11,0xD43F598B,8,8,8,8,9,16,9,16
42,5 11,0xD43F599C,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B66,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B72,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B80,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B90,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D60,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D6C,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D79,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D88,8,8,8,8,9,16,9,16
42,5 11,0xDF3F5F88,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5F99,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FAC,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FC1,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FC1,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FC1,8,8,8,8,6,19,6,19
58,5 11,0xC23F5594,8,8,8,8,8,14,8,14
58,5 11,0xC23F55A6,8,8,8,8,8,14,8,14
58,5 11,0xC33F5776,8,8,8,8,8,14,8,14
58,5 11,0xC33F5785,8,8,8,8,8,14,8,14
58,5 11,0xC33F5795,8,8,8,8,8,14,8,14
58,5 11,0xC33F57A7,8,8,8,8,8,14,8,14
58,5 11,0xD43F596D,8,8,8,8,8,14,8,14
58,5 11,0xD43F597B,8,8,8,8,8,14,8,14
58,5 11,0xD43F598A,8,8,8,8,8,14,8,14
58,5 11,0xD43F599B,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B66,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B72,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B80,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B90,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D60,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D6C,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D79,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D88,8,8,8,8,8,14,8,14
58,5 11,0xDF3F5F7C,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5F8B,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5F9C,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FAF,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FAF,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FAF,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FAF,8,8,8,8,5,17,5,17
106,5 11,0xC23F556F,8,8,8,8,7,12,7,12
106,5 11,0xC23F557C,8,8,8,8,7,12,7,12
106,5 11,0xC23F558B,8,8,8,8,7,12,7,12
106,5 11,0xC23F559C,8,8,8,8,7,12,7,12
106,5 11,0xC33F576F,8,8,8,8,7,12,7,12
106,5 11,0xC33F577D,8,8,8,8,7,12,7,12
106,5 11,0xC33F578C,8,8,8,8,7,12,7,12
106,5 11,0xC33F579D,8,8,8,8,7,12,7,12
106,5 11,0xD43F5969,8,8,8,8,7,12,7,12
106,5 11,0xD43F5976,8,8,8,8,7,12,7,12
106,5 11,0xD43F5984,8,8,8,8,7,12,7,12
106,5 11,0xD43F5995,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B66,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B72,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B80,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B90,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D64,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D70,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D7D,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D8D,8,8,8,8,7,12,7,12
106,5 11,0xDF3F5F74,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5F83,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5F92,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5FA4,8,8,8,8,2,15,2,15
106,5 11,0xDF3F5FA4,8,8,8,8,2,15,2,15
122,5 11,0xC23F5572,8,8,8,8,5,10,5,10
122,5 11,0xC23F557F,8,8,8,8,5,10,5,10
122,5 11,0xC23F558F,8,8,8,8,5,10,5,10
122,5 11,0xC23F55A0,8,8,8,8,5,10,5,10
122,5 11,0xC33F5772,8,8,8,8,5,10,5,10
122,5 11,0xC33F5780,8,8,8,8,5,10,5,10
122,5 11,0xC33F5790,8,8,8,8,5,10,5,10
122,5 11,0xC33F57A1,8,8,8,8,5,10,5,10
122,5 11,0xD43F596B,8,8,8,8,5,10,5,10
122,5 11,0xD43F5978,8,8,8,8,5,10,5,10
122,5 11,0xD43F5987,8,8,8,8,5,10,5,10
122,5 11,0xD43F5997,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B66,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B72,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B80,8,8,8,8,5,10,5,10
122,5 11,0xD53F5B90,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D63,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D6F,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D7D,8,8,8,8,5,10,5,10
122,5 11,0xDE3F5D8C,8,8,8,8,5,10,5,10
122,5 11,0xDF3F5F7C,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5F8B,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5F9C,8,8,8,8,1,13,1,13
