ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
155,768,57.71,4.12,6.11,2.58,4.08,0x80C03F51
155,832,58.40,5.02,6.80,3.17,4.78,0x80C03F51
155,896,59.05,5.58,7.43,3.62,5.54,0x80C03F51
155,960,59.65,6.12,8.09,4.10,6.44,0x80C03F51
155,1024,60.21,6.57,8.64,4.54,7.31,0x80C03F51
155,1088,60.73,7.40,9.16,5.50,8.24,0x80C03F51
155,1152,61.23,7.28,9.66,5.35,9.24,0x80C03F51
155,1216,61.70,7.98,10.10,6.27,10.24,0x80C03F51
155,1280,62.14,8.48,10.55,7.05,11.34,0x80C03F51
155,1344,62.57,8.91,10.96,7.79,12.47,0x80C03F51
155,1408,62.97,9.31,11.35,8.52,13.64,0x80C03F51
155,1472,63.36,9.75,11.73,9.45,14.91,0x80C03F51
155,1536,63.73,10.16,12.12,10.37,16.31,0x80C03F51
155,1600,64.08,10.50,12.47,11.22,17.66,0x80C03F51
155,1664,64.42,10.80,12.81,12.03,19.10,0x80C03F51
155,1728,64.75,11.06,13.14,12.77,20.60,0x80C03F51
155,1792,65.07,11.36,13.45,13.69,22.15,0x80C03F51
155,1856,65.37,11.53,13.76,14.21,23.77,0x80C03F51
155,1920,65.67,11.94,14.07,15.65,25.50,0x80C03F51
155,1984,65.95,12.28,14.36,16.90,27.28,0x80C03F51
155,2048,66.23,12.56,14.62,18.05,28.96,0x80C03F51
155,2112,66.49,12.87,14.89,19.37,30.86,0x80C03F51
155,2176,66.75,13.11,15.13,20.44,32.61,0x80C03F51
155,2240,67.00,13.40,15.39,21.88,34.60,0x80C03F51
155,2304,67.25,13.64,15.64,23.14,36.64,0x80C03F51
155,2368,67.49,13.94,15.88,24.76,38.73,0x80C03F51
155,2432,67.72,14.08,16.13,25.57,41.03,0x80C03F51
155,2496,67.94,14.30,16.36,26.94,43.22,0x80C03F51
155,2560,68.16,14.55,16.58,28.49,45.51,0x80C03F51
155,2624,68.38,14.75,16.79,29.86,47.79,0x80C03F51
155,2688,68.59,15.01,17.01,31.66,50.27,0x80C03F51
155,2752,68.79,15.26,17.22,33.55,52.72,0x80C03F51
155,2816,68.99,15.42,17.42,34.80,55.20,0x80C03F51
155,2880,69.19,15.57,17.61,36.09,57.71,0x80C03F51
155,2944,69.38,15.80,17.81,38.01,60.41,0x80C03F51
155,3008,69.57,15.92,18.00,39.12,63.14,0x80C03F51
