Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case,-40¡æ,,,,,20¡æ,,,,,70¡æ,,,
lna_vbcgn,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,703.5782466,703.3937257,1122.735956,703.5782466,,666.3788303,666.6371595,666.7478721,666.7478721,,632.4638862,632.2793653,120.3445404,632.4638862
lna_reg_out,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_ON,930.3175462,930.1330253,930.0961211,930.3175462,,-75.13691634,892.8967048,893.155034,893.155034,,858.6496231,858.3912938,858.7972398,858.7972398
lna_vbcgp,WF,LNA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna,1'b1,wf_test_bit<2:0>,3'b100,WF_RX_ON,263.3851532,263.348249,263.2744407,263.3851532,,270.396948,-74.62025778,270.396948,270.396948,,275.858767,275.3052043,275.858767,275.858767
rmx_logen_vbn,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b000,WF_RX_ON,608.6975924,608.9190175,-298.9976897,608.9190175,,591.1681055,591.5002432,591.463339,591.5002432,,582.4956226,582.5325268,120.1969236,582.5325268
rmx_logen_vbp,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_ON,413.5482733,413.6589859,413.8066026,413.8066026,,403.0674854,402.993677,402.7353478,403.0674854,,373.1381931,373.0274805,372.5846304,373.1381931
rmx_avdd_rf_sw,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,1214,1214,1214,1214,,1214,-75.06310798,1214,1214,,1214,1214,1214,1214
rmx_avdd_lo_sw,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_ON,-285.3800462,1214,-298.8131688,1214,,1214,1214,1214,1214,,120.270732,1214,1214,1214
rmx_lo_vbias,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b100,WF_RX_ON,991.9106274,991.9475316,991.7999149,991.9475316,,940.170963,940.5400049,940.170963,940.5400049,,891.0514956,148.9821863,890.4979329,891.0514956
rmx_reg_lobuf,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b101,WF_RX_ON,904.7429475,904.9274684,905.0381809,905.0381809,,896.5502189,896.6240272,896.365698,896.6240272,,886.2539518,885.88491,886.1801435,886.2539518
rmx_reg_dll,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b110,WF_RX_ON,-299.0345939,1052.728721,1052.507296,1052.728721,,1039.22179,1039.258694,-75.35834144,1039.258694,,120.0493069,1019.588765,1019.404244,1019.588765
rmx_vcmref,WF,RMX,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_rmx,1'b1,wf_test_bit<2:0>,3'b111,WF_RX_ON,649.2183852,648.9231518,648.9969601,649.2183852,,648.9969601,648.9231518,648.9600559,648.9969601,,642.2434946,641.911357,642.2065905,642.2434946
tia_iref5u,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b000,WF_RX_ON,607.5535627,606.594054,607.3321376,607.5535627,,615.8939081,615.672483,616.0046206,616.0046206,,616.3367583,617.2593628,120.1969236,617.2593628
tia_ldo,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b011,WF_RX_ON,-299.2191148,1036.269455,1034.977809,1036.269455,,1051.363266,1052.839433,1051.473979,1052.839433,,1057.120319,1056.788181,1056.935798,1057.120319
tia_input_qp,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b100,WF_RX_ON,655.5290005,655.4551921,655.4182879,655.5290005,,654.5325875,-75.21072471,654.6433001,654.6433001,,647.2624635,647.2993677,647.0041342,647.2993677
tia_input_qn,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b101,WF_RX_ON,655.2706712,655.4551921,-298.665552,655.4551921,,654.2742583,654.5694917,1214,654.2742583,,1214,646.5981882,646.8934217,646.5981882
tia_input_ip,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b110,WF_RX_ON,654.7171085,654.6802043,654.9385336,654.9385336,,653.9790248,654.1635457,653.9421206,654.1635457,,646.2291464,646.0815297,646.3029548,646.3029548
tia_input_in,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b01,wf_test_bit<2:0>,3'b111,WF_RX_ON,654.6802043,654.7909168,654.7540126,654.7909168,,654.0897374,653.9421206,654.015929,654.0897374,,646.5243799,646.8565175,646.7089008,646.8565175
tia_aux_output_qn,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b000,WF_RX_ON,-285.3800462,231.057089,-298.5548395,231.057089,,263.938716,263.6065783,-74.91549125,263.938716,,120.1231153,240.9843142,240.135518,240.9843142
tia_aux_output_qp,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b001,WF_RX_ON,231.6475559,231.3154183,231.2047057,231.6475559,,264.2339494,264.0863327,264.4184703,264.4184703,,237.9581712,149.0928988,237.7367461,237.9581712
tia_aux_output_in,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b010,WF_RX_ON,234.3784655,234.4153696,234.0463278,234.4153696,,267.5553259,267.6291342,267.5553259,267.6291342,,239.9509971,240.2831347,240.2462305,240.2831347
tia_aux_output_ip,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b011,WF_RX_ON,-298.7762646,235.0427408,234.9689324,235.0427408,,268.6255472,269.0683974,-75.10001216,269.0683974,,119.8278818,243.4199903,243.3092777,243.4199903
tia_output_qn,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b100,WF_RX_ON,665.3824173,-298.7762646,665.3824173,665.3824173,,663.6110165,663.8324416,663.500304,663.8324416,,655.4920963,120.3076362,655.4551921,655.4920963
tia_output_qp,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b101,WF_RX_ON,666.8585846,667.0800097,666.6371595,667.0800097,,665.3086089,665.4562257,665.2717048,665.4562257,,657.1896887,656.7099343,656.5992218,657.1896887
tia_output_in,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b110,WF_RX_ON,-298.7762646,654.9385336,655.639713,655.639713,,-75.28453307,653.7945039,654.0897374,654.0897374,,645.5279669,645.4172544,645.4910627,645.5279669
tia_output_ip,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b111,WF_RX_ON,654.4587792,654.5694917,654.3849708,654.5694917,,652.8349951,-53.91701119,652.7611868,652.8349951,,644.9375,644.531554,644.7160749,644.9375
lna_bt_vbn,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON,486.4709387,486.6185554,486.2864178,486.6185554,,461.1915734,461.0439567,461.4868069,461.4868069,,439.8240516,440.119285,439.9347641,440.119285
lna_bt_vbcg,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON,704.3532344,704.7960846,704.6484679,704.7960846,,672.0620744,671.9513619,672.0620744,672.0620744,,639.4387768,639.5125851,639.3649684,639.5125851
lna_bt_dvdd,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON,1071.217716,1071.033196,1071.107004,1071.217716,,1080.406858,1080.369954,1080.369954,1080.406858,,1080.702091,1080.923517,1080.997325,1080.997325
rmx_bt_reg,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON,1071.992704,1071.9558,1071.734375,1071.992704,,1081.772313,1081.846121,1081.772313,1081.846121,,1082.584205,1082.325875,1082.436588,1082.584205
rmx_bt_lobias,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON,1026.711272,1026.821984,1026.748176,1026.821984,,979.6953429,979.5477262,979.5477262,979.6953429,,935.7793653,936.0376946,936.0745987,936.0745987
rmx_bt_avdd_sw,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON,1214,1214,1214,1214,,1214,1214,1214,1214,,1214,1214,1214,1214
tia_bt_output_qn,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b000,BT_RX_ON,693.2081712,693.1343628,692.4700875,693.2081712,,693.3188838,693.577213,694.0200632,694.0200632,,687.9677772,688.2261065,688.4106274,688.4106274
tia_bt_output_qp,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON,694.5367218,695.0533804,694.8319553,695.0533804,,695.6438473,695.6807515,696.0128891,696.0128891,,689.7022738,690.0344115,689.4070404,690.0344115
tia_bt_output_ip,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON,698.5592777,698.3378526,697.7104815,698.5592777,,692.8022252,692.0272374,691.8427164,692.8022252,,693.4295963,693.6510214,693.6141172,693.6510214
tia_bt_output_in,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON,685.1999635,685.1999635,685.6797179,685.6797179,,691.3629621,690.8832077,691.3629621,691.3629621,,684.6464008,685.1630593,685.089251,685.1630593
tia_bt_input_qn,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b100,BT_RX_ON,681.2143118,681.066695,681.2143118,681.2143118,,681.657162,681.9154912,681.657162,681.9154912,,678.5941148,678.5941148,678.4834022,678.5941148
tia_bt_input_qp,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b101,BT_RX_ON,680.2178988,679.848857,680.1440905,680.2178988,,680.8452699,680.7345574,680.8452699,680.8452699,,677.6715102,677.5238935,677.5977018,677.6715102
tia_bt_input_ip,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b110,BT_RX_ON,680.4393239,680.4024197,680.4393239,680.4393239,,680.8821741,680.8452699,680.8821741,680.8821741,,677.8560311,677.9298395,677.5977018,677.9298395
tia_bt_input_in,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b111,BT_RX_ON,680.2178988,680.4393239,680.3655156,680.4393239,,681.1035992,681.1405034,680.9928867,681.1405034,,677.7822228,677.8560311,677.9298395,677.9298395
