Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
7,5 11,1 1,20000,15,15.12,-36.45,0xCA3F47BC
7,5 11,1 1,20000,16,15.96,-34.85,0xD33F4C53
7,5 11,1 1,20000,17,16.89,-35.09,0xD33F4C5D
7,5 11,1 1,20000,18,17.79,-34.27,0xD33F4C68
7,5 11,1 1,20000,19,18.74,-32.27,0xD33F4C75
7,5 11,1 1,20000,20,19.63,-30.14,0xDC3F4D7F
7,5 11,1 1,20000,21,20.52,-29.58,0xDC3F4D8F
7,5 11,1 1,20000,22,21.30,-29.08,0xDC3F4DA0
7,5 11,1 1,20000,23,22.05,-28.32,0xDC3F4DB4
7,5 7,1 1,20000,10,10.01,-42.52,0xCA3F4768
7,5 7,1 1,20000,11,10.99,-42.60,0xCA3F4774
7,5 7,1 1,20000,12,12.13,-42.00,0xCA3F4784
7,5 7,1 1,20000,13,13.03,-40.31,0xCA3F4794
7,5 7,1 1,20000,14,13.91,-38.81,0xCA3F47A4
7,5 7,1 1,20000,15,15.06,-35.90,0xCA3F47BC
7,5 7,1 1,20000,16,16.01,-36.67,0xD33F4C53
7,5 7,1 1,20000,17,16.94,-36.26,0xD33F4C5D
7,5 7,1 1,20000,18,17.86,-34.31,0xD33F4C68
7,5 7,1 1,20000,19,18.81,-31.39,0xD33F4C75
7,5 7,1 1,20000,20,19.60,-26.59,0xDC3F4D7F
7,5 7,1 1,20000,21,20.48,-23.24,0xDC3F4D8F
7,5 7,1 1,20000,22,21.27,-20.82,0xDC3F4DA0
7,5 7,1 1,20000,23,21.95,-19.12,0xDC3F4DB3
