Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg,
106,5 0,2 2,20000,5,3.11,-39.77,0xC13F568D
106,5 0,2 2,20000,6,4.22,-39.90,0xC13F569E
106,5 0,2 2,20000,7,4.97,-39.37,0xC23F586C
106,5 0,2 2,20000,8,5.93,-39.55,0xC23F5879
106,5 0,2 2,20000,9,6.94,-39.44,0xC23F5888
106,5 0,2 2,20000,10,7.95,-39.44,0xC23F5899
106,5 0,2 2,20000,11,8.95,-39.62,0xC23F58AB
106,5 0,2 2,20000,12,9.98,-39.32,0xC23F58C0
106,5 0,2 2,20000,13,11.12,-36.73,0xD33F5C58
106,5 0,2 2,20000,14,12.10,-37.25,0xD33F5C63
106,5 0,2 2,20000,15,13.05,-37.10,0xD33F5C6F
106,5 0,2 2,20000,16,13.98,-36.80,0xD33F5C7C
106,5 0,2 2,20000,17,14.92,-35.69,0xD33F5C8B
106,5 0,2 2,20000,18,15.50,-34.65,0xD43F5D7C
106,5 0,2 2,20000,19,16.44,-32.13,0xD43F5D8C
106,5 0,2 2,20000,20,17.35,-28.78,0xD43F5D9D
106,5 0,2 2,20000,21,18.21,-25.03,0xD43F5DB0
106,5 0,2 2,20000,22,19.02,-21.16,0xD43F5DC5
106,5 0,2 2,20000,23,19.38,-17.04,0xD83F5F9A
