ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
122,896,59.05,12.03,13.82,15.94,24.08,13.77,11.39,,,1.79
122,960,59.65,12.63,14.34,18.3,27.15,15.86,12,,,1.71
122,1024,60.21,13.18,14.87,20.78,30.72,18.05,12.57,,,1.69
122,1088,60.73,13.62,15.38,23.03,34.49,20.06,13.02,,,1.76
122,1152,61.23,14.1,15.87,25.72,38.6,22.48,13.52,,,1.77
122,1216,61.7,14.67,16.33,29.3,42.93,25.73,14.1,,,1.66
122,1280,62.14,15.02,16.76,31.77,47.4,27.98,14.47,,,1.74
122,1344,62.57,15.46,17.16,35.17,51.97,31.1,14.93,,,1.7
122,1408,62.97,15.86,17.56,38.56,56.98,34.24,15.35,,,1.7
122,1472,63.36,16.22,17.95,41.92,62.36,37.37,15.73,,,1.73
122,1536,63.73,16.58,18.31,45.47,67.7,40.7,16.1,,,1.73
122,1600,64.08,16.93,18.68,49.3,73.71,44.34,16.47,,,1.75
122,1664,64.42,17.3,19.01,53.66,79.65,48.51,16.86,,,1.71
122,1728,64.75,17.6,19.32,57.57,85.49,52.29,17.18,,,1.72
122,1792,65.07,17.88,19.63,61.45,91.75,56.06,17.49,,,1.75
122,1856,65.37,18.18,19.93,65.73,98.43,60.27,17.8,,,1.75
122,1920,65.67,18.42,20.21,69.56,105,64.07,18.07,,,1.79
122,1984,65.95,18.63,20.44,73,110.72,67.5,18.29,,,1.81
122,2048,66.23,18.88,20.69,77.31,117.19,71.85,18.56,,,1.81
122,2112,66.49,19.22,21,83.48,125.88,78.13,18.93,,,1.78
122,2176,66.75,19.43,21.23,87.8,132.84,82.57,19.17,,,1.8
122,2240,67,19.63,21.46,91.85,139.87,86.79,19.38,,,1.83
122,2304,67.25,19.87,21.7,96.98,147.75,92.17,19.65,,,1.83
122,2368,67.49,20.08,21.91,101.89,155.27,97.37,19.88,,,1.83
122,2432,67.72,20.31,22.12,107.32,162.76,103.18,20.14,,,1.81
122,2496,67.94,20.46,22.32,111.16,170.45,107.32,20.31,,,1.86
122,2560,68.16,20.63,22.5,115.73,177.82,112.31,20.5,,,1.87
122,2624,68.38,20.79,22.68,120.09,185.31,117.1,20.69,,,1.89
122,2688,68.59,20.97,22.83,124.88,191.74,122.41,20.88,,,1.86
122,2752,68.79,21.1,23,128.87,199.53,126.87,21.03,,,1.9
122,2816,68.99,21.25,23.16,133.41,207,131.99,21.21,,,1.91
122,2880,69.19,21.37,23.32,137.03,214.63,136.1,21.34,,,1.95
122,2944,69.38,21.51,23.47,141.68,222.27,141.42,21.51,,,1.96
122,3008,69.57,21.66,23.59,146.55,228.57,147.05,21.67,,,1.93
122,3072,69.75,21.81,23.74,151.82,236.69,153.2,21.85,,,1.93
122,3136,69.93,21.94,23.88,156.25,244.4,158.41,22,,,1.94
122,3200,70.1,22.06,24.03,160.79,252.71,163.79,22.14,,,1.97
122,3264,70.28,22.18,24.15,165.26,259.92,169.13,22.28,,,1.97
122,3328,70.44,22.28,24.27,168.98,267.28,173.62,22.4,,,1.99
122,3392,70.61,22.34,24.34,171.24,271.4,176.34,22.46,,,2
122,3456,70.77,22.45,24.46,175.85,279.15,181.96,22.6,,,2.01
122,3520,70.93,22.56,24.58,180.42,286.82,187.58,22.73,,,2.02
122,3584,71.09,22.66,24.68,184.52,293.85,192.65,22.85,,,2.02
122,3648,71.24,22.74,24.78,188.1,300.78,197.1,22.95,,,2.04
122,3712,71.39,22.82,24.87,191.64,307.2,201.54,23.04,,,2.05
122,3776,71.54,22.95,24.99,197.44,315.58,208.86,23.2,,,2.04
122,3840,71.69,23.03,25.09,200.94,322.51,213.32,23.29,,,2.06
122,3904,71.83,23.08,25.17,203.38,328.58,216.44,23.35,,,2.09
122,3968,71.97,23.16,25.24,206.92,334.14,220.99,23.44,,,2.08
122,4032,72.11,23.21,25.3,209.62,338.78,224.48,23.51,,,2.09
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
138,640,56.12,9.49,11.53,8.89,14.23,7.61,8.82,,,2.04
138,704,56.95,10.56,12.26,11.37,16.84,9.76,9.89,,,1.7
138,768,57.71,11.15,13.06,13.03,20.22,11.21,10.5,,,1.91
138,832,58.4,11.96,13.74,15.72,23.65,13.57,11.33,,,1.78
138,896,59.05,12.54,14.41,17.94,27.58,15.53,11.91,,,1.87
138,960,59.65,13.07,14.99,20.26,31.53,17.59,12.45,,,1.92
138,1024,60.21,13.52,15.52,22.51,35.63,19.6,12.92,,,2
138,1088,60.73,14.13,16.02,25.91,40,22.65,13.55,,,1.89
138,1152,61.23,14.56,16.51,28.56,44.72,25.06,13.99,,,1.95
138,1216,61.7,14.93,16.97,31.15,49.76,27.41,14.38,,,2.04
138,1280,62.14,15.43,17.39,34.87,54.81,30.83,14.89,,,1.96
138,1344,62.57,15.82,17.79,38.16,60.13,33.86,15.3,,,1.97
138,1408,62.97,16.19,18.18,41.63,65.71,37.1,15.69,,,1.99
138,1472,63.36,16.6,18.56,45.69,71.76,40.91,16.12,,,1.96
138,1536,63.73,17.01,18.92,50.19,78.05,45.19,16.55,,,1.91
138,1600,64.08,17.33,19.33,54.1,85.75,48.93,16.9,,,2
138,1664,64.42,17.68,19.67,58.57,92.63,53.25,17.26,,,1.99
138,1728,64.75,17.98,19.96,62.81,99.2,57.4,17.59,,,1.98
138,1792,65.07,18.27,20.27,67.09,106.37,61.62,17.9,,,2
138,1856,65.37,18.56,20.56,71.7,113.85,66.21,18.21,,,2
138,1920,65.67,18.78,20.82,75.58,120.89,70.1,18.46,,,2.04
138,1984,65.95,19.01,21.05,79.53,127.43,74.1,18.7,,,2.04
138,2048,66.23,19.29,21.19,84.84,131.42,79.53,19.01,,,1.9
138,2112,66.49,19.49,21.43,88.94,139.02,83.76,19.23,,,1.94
138,2176,66.75,19.74,21.65,94.18,146.3,89.22,19.5,,,1.91
138,2240,67,19.93,21.89,98.31,154.43,93.57,19.71,,,1.96
138,2304,67.25,20.15,22.14,103.52,163.66,99.1,19.96,,,1.99
138,2368,67.49,20.34,22.36,108.24,172.06,104.17,20.18,,,2.02
138,2432,67.72,20.59,22.56,114.59,180.36,111.06,20.46,,,1.97
138,2496,67.94,20.77,22.77,119.53,189.02,116.48,20.66,,,2
138,2560,68.16,20.92,22.95,123.52,197.38,120.9,20.82,,,2.03
138,2624,68.38,21.05,23.09,127.39,203.87,125.22,20.98,,,2.04
138,2688,68.59,21.21,23.26,132.23,212.06,130.65,21.16,,,2.05
138,2752,68.79,21.41,23.45,138.28,221.37,137.53,21.38,,,2.04
138,2816,68.99,21.57,23.63,143.48,230.48,143.5,21.57,,,2.06
138,2880,69.19,21.73,23.79,149.06,239.57,149.96,21.76,,,2.06
138,2944,69.38,21.85,23.94,153.12,248.01,154.71,21.9,,,2.09
138,3008,69.57,21.93,24.02,155.92,252.5,158.01,21.99,,,2.09
138,3072,69.75,22.11,24.21,162.56,263.34,165.9,22.2,,,2.1
138,3136,69.93,22.26,24.37,168.36,273.82,172.86,22.38,,,2.11
138,3200,70.1,22.41,24.53,174,283.71,179.71,22.55,,,2.12
138,3264,70.28,22.54,24.67,179.35,292.97,186.26,22.7,,,2.13
138,3328,70.44,22.64,24.78,183.45,300.36,191.32,22.82,,,2.14
138,3392,70.61,22.78,24.92,189.54,310.32,198.9,22.99,,,2.14
138,3456,70.77,22.9,25.05,194.96,319.8,205.73,23.13,,,2.15
138,3520,70.93,23,25.15,199.5,327.6,211.49,23.25,,,2.15
138,3584,71.09,23.07,25.25,202.57,334.65,215.4,23.33,,,2.18
138,3648,71.24,23.13,25.33,205.63,340.84,219.33,23.41,,,2.2
138,3712,71.39,23.25,25.47,211.17,352.51,226.49,23.55,,,2.22
138,3776,71.54,23.28,25.5,213.05,354.67,228.93,23.6,,,2.22
138,3840,71.69,23.31,25.52,214.12,356.14,230.33,23.62,,,2.21
138,3904,71.83,23.31,25.53,214.38,357.28,230.67,23.63,,,2.22
138,3968,71.97,23.32,25.53,214.56,357.02,230.91,23.63,,,2.21
138,4032,72.11,23.32,25.53,214.82,357.17,231.24,23.64,,,2.21
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
155,640,56.12,9.87,11.69,9.71,14.76,8.32,9.2,,,1.82
155,704,56.95,10.74,12.53,11.85,17.91,10.18,10.08,,,1.79
155,768,57.71,11.33,13.27,13.58,21.23,11.69,10.68,,,1.94
155,832,58.4,12.06,13.98,16.05,24.99,13.87,11.42,,,1.92
155,896,59.05,12.78,14.56,18.97,28.57,16.44,12.16,,,1.78
155,960,59.65,13.28,15.13,21.29,32.6,18.51,12.67,,,1.85
155,1024,60.21,13.82,15.66,24.1,36.8,21.02,13.23,,,1.84
155,1088,60.73,14.32,16.19,27.01,41.58,23.65,13.74,,,1.87
155,1152,61.23,14.81,16.67,30.3,46.44,26.63,14.25,,,1.86
155,1216,61.7,15.2,17.11,33.1,51.43,29.2,14.65,,,1.91
155,1280,62.14,15.64,17.53,36.68,56.65,32.5,15.12,,,1.89
155,1344,62.57,16.05,17.94,40.23,62.24,35.79,15.54,,,1.89
155,1408,62.97,16.41,18.33,43.73,68.1,39.07,15.92,,,1.92
155,1472,63.36,16.81,18.7,47.98,74.19,43.08,16.34,,,1.89
155,1536,63.73,17.17,19.07,52.11,80.8,47.02,16.72,,,1.9
155,1600,64.08,17.53,19.46,56.68,88.25,51.43,17.11,,,1.93
155,1664,64.42,17.87,19.78,61.22,95,55.84,17.47,,,1.91
155,1728,64.75,18.19,20.11,65.95,102.62,60.48,17.82,,,1.92
155,1792,65.07,18.45,20.4,69.97,109.68,64.48,18.09,,,1.95
155,1856,65.37,18.74,20.69,74.8,117.17,69.32,18.41,,,1.95
155,1920,65.67,19.03,20.97,79.93,125.01,74.51,18.72,,,1.94
155,1984,65.95,19.24,21.2,83.99,131.92,78.66,18.96,,,1.96
155,2048,66.23,19.48,21.44,88.68,139.45,83.49,19.22,,,1.96
155,2112,66.49,19.73,21.69,93.92,147.46,88.95,19.49,,,1.96
155,2176,66.75,19.91,21.92,98.05,155.51,93.3,19.7,,,2.01
155,2240,67,20.2,22.11,104.77,162.72,100.44,20.02,,,1.91
155,2304,67.25,20.37,22.31,108.79,170.4,104.77,20.2,,,1.94
155,2368,67.49,20.6,22.53,114.88,179.11,111.38,20.47,,,1.93
155,2432,67.72,20.82,22.74,120.68,187.86,117.75,20.71,,,1.92
155,2496,67.94,20.97,22.93,125.14,196.24,122.7,20.89,,,1.96
155,2560,68.16,21.14,23.13,130.09,205.42,128.24,21.08,,,1.99
155,2624,68.38,21.27,23.27,134.04,212.23,132.7,21.23,,,2
155,2688,68.59,21.45,23.44,139.79,220.59,139.26,21.44,,,1.99
155,2752,68.79,21.61,23.63,144.96,230.52,145.21,21.62,,,2.02
155,2816,68.99,21.79,23.8,151.16,239.9,152.42,21.83,,,2.01
155,2880,69.19,21.94,23.96,156.22,249.06,158.36,22,,,2.02
155,2944,69.38,22.08,24.12,161.53,258,164.67,22.17,,,2.04
155,3008,69.57,22.14,24.17,163.63,261.16,167.18,22.23,,,2.03
155,3072,69.75,22.3,24.36,169.72,273.02,174.51,22.42,,,2.06
155,3136,69.93,22.46,24.53,176.37,283.96,182.59,22.61,,,2.07
155,3200,70.1,22.61,24.68,182.49,293.95,190.13,22.79,,,2.07
155,3264,70.28,22.74,24.81,187.88,303.01,196.83,22.94,,,2.07
155,3328,70.44,22.91,25.03,195.56,318.44,206.48,23.15,,,2.12
155,3392,70.61,23.03,25.13,200.8,326.05,213.13,23.29,,,2.1
155,3456,70.77,23.09,25.22,203.6,332.32,216.72,23.36,,,2.13
155,3520,70.93,23.17,25.29,207.25,337.77,221.42,23.45,,,2.12
155,3584,71.09,23.22,25.34,209.91,342.2,224.86,23.52,,,2.12
155,3648,71.24,23.26,25.4,211.72,346.34,227.2,23.56,,,2.14
155,3712,71.39,23.31,25.47,214.08,352.44,230.28,23.62,,,2.16
155,3776,71.54,23.34,25.49,215.78,354.25,232.5,23.66,,,2.15
155,3840,71.69,23.35,25.51,216.48,355.9,233.42,23.68,,,2.16
155,3904,71.83,23.33,25.51,215.41,355.98,232.02,23.66,,,2.18
155,3968,71.97,23.33,25.5,215.08,354.87,231.58,23.65,,,2.17
155,4032,72.11,23.33,25.5,215.41,354.72,232.02,23.66,,,2.17
