BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x1A3F4D8D    ,16.22,-34.97,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CC0    ,15.97,-35.54,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C72    ,15.01,-37.14,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C81    ,15.89,-37.02,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C81    ,15.14,-37.36,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C88    ,14.42,-36.57,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x193F6EC0    ,20.06,-29.41,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x193F6EAB    ,20.00,-29.59,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DAB    ,19.78,-28.06,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D98    ,18.17,-32.17,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D99    ,17.51,-32.61,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DA9    ,17.40,-31.54,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#TT_H2_3,testmode_8820_1120_apc_oft_1.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.90,-36.44,NA,NA,NA
#TT_H2_3,testmode_8820_1120_apc_oft_1.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.47,-35.61,NA,NA,NA
#TT_H2_3,testmode_8820_1120_apc_oft_1.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,14.20,-36.03,NA,NA,NA
#TT_H2_3,testmode_8820_1120_apc_oft_1.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.75,-37.08,NA,NA,NA
#TT_H2_3,testmode_8820_1120_apc_oft_1.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A8D    ,13.40,-38.79,NA,NA,NA
