Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,0,3,2,9,13.60,-33.80
42,0,0,3,2,10,13.62,-33.85
42,0,0,3,2,11,13.65,-33.70
42,0,0,3,2,12,13.64,-33.51
42,0,0,3,2,13,13.62,-33.79
42,0,0,3,2,14,13.61,-33.68
42,0,0,3,2,15,13.60,-33.99
42,0,0,3,3,0,13.01,-33.26
42,0,0,3,3,1,13.08,-33.24
42,0,0,3,3,2,13.09,-33.17
42,0,0,3,3,3,13.17,-33.23
42,0,0,3,3,4,13.22,-33.55
42,0,0,3,3,5,13.30,-33.24
42,0,0,3,3,6,13.26,-32.85
42,0,0,3,3,7,13.38,-33.46
42,0,0,3,3,8,13.40,-33.27
42,0,0,3,3,9,13.53,-33.23
42,0,0,3,3,10,13.55,-33.87
42,0,0,3,3,11,13.63,-33.89
42,0,0,3,3,12,13.63,-33.76
42,0,0,3,3,13,13.57,-33.22
42,0,0,3,3,14,13.60,-33.62
42,0,0,3,3,15,13.55,-33.91
42,0,0,3,4,0,12.93,-33.10
42,0,0,3,4,1,13.02,-33.52
42,0,0,3,4,2,13.01,-33.23
42,0,0,3,4,3,13.08,-33.09
42,0,0,3,4,4,13.11,-33.31
42,0,0,3,4,5,13.19,-33.38
42,0,0,3,4,6,13.18,-33.21
42,0,0,3,4,7,13.26,-33.31
42,0,0,3,4,8,13.32,-33.61
42,0,0,3,4,9,13.44,-33.35
42,0,0,3,4,10,13.43,-33.20
42,0,0,3,4,11,13.54,-33.59
42,0,0,3,4,12,13.58,-33.91
42,0,0,3,4,13,13.52,-33.62
42,0,0,3,4,14,13.53,-33.79
42,0,0,3,4,15,13.49,-33.88
42,0,0,3,5,0,12.87,-33.28
42,0,0,3,5,1,12.93,-33.27
42,0,0,3,5,2,12.93,-33.33
42,0,0,3,5,3,13.03,-33.54
42,0,0,3,5,4,13.03,-33.70
42,0,0,3,5,5,13.12,-33.79
42,0,0,3,5,6,13.09,-33.33
42,0,0,3,5,7,13.18,-33.60
42,0,0,3,5,8,13.21,-33.28
42,0,0,3,5,9,13.34,-33.79
42,0,0,3,5,10,13.29,-33.26
42,0,0,3,5,11,13.44,-33.82
42,0,0,3,5,12,13.48,-33.58
42,0,0,3,5,13,13.45,-33.77
42,0,0,3,5,14,13.46,-33.87
42,0,0,3,5,15,13.39,-33.88
42,0,0,3,6,0,12.74,-33.30
42,0,0,3,6,1,12.82,-33.37
42,0,0,3,6,2,12.84,-33.64
42,0,0,3,6,3,12.91,-33.78
42,0,0,3,6,4,12.90,-33.30
42,0,0,3,6,5,12.97,-33.35
42,0,0,3,6,6,13.00,-33.83
42,0,0,3,6,7,13.01,-33.06
42,0,0,3,6,8,13.06,-33.59
42,0,0,3,6,9,13.15,-33.47
42,0,0,3,6,10,13.15,-33.49
42,0,0,3,6,11,13.29,-33.69
42,0,0,3,6,12,13.35,-34.01
42,0,0,3,6,13,13.33,-34.00
42,0,0,3,6,14,13.32,-34.04
42,0,0,3,6,15,13.26,-33.98
42,0,0,3,7,0,12.63,-33.60
42,0,0,3,7,1,12.71,-33.82
42,0,0,3,7,2,12.69,-33.49
42,0,0,3,7,3,12.76,-33.50
42,0,0,3,7,4,12.79,-34.05
42,0,0,3,7,5,12.85,-33.50
42,0,0,3,7,6,12.84,-33.46
42,0,0,3,7,7,12.89,-33.77
42,0,0,3,7,8,12.94,-33.81
42,0,0,3,7,9,13.05,-33.79
42,0,0,3,7,10,13.00,-33.53
42,0,0,3,7,11,13.14,-33.75
42,0,0,3,7,12,13.19,-34.22
42,0,0,3,7,13,13.17,-34.16
42,0,0,3,7,14,13.17,-34.11
42,0,0,3,7,15,13.07,-34.54
42,0,0,4,0,0,13.24,-33.91
42,0,0,4,0,1,13.31,-33.14
42,0,0,4,0,2,13.32,-33.60
42,0,0,4,0,3,13.42,-33.57
42,0,0,4,0,4,13.46,-33.74
42,0,0,4,0,5,13.57,-33.80
42,0,0,4,0,6,13.53,-33.11
42,0,0,4,0,7,13.62,-33.18
42,0,0,4,0,8,13.65,-33.90
42,0,0,4,0,9,13.66,-33.38
42,0,0,4,0,10,13.68,-33.98
42,0,0,4,0,11,13.67,-33.68
42,0,0,4,0,12,13.68,-33.58
42,0,0,4,0,13,13.66,-33.61
42,0,0,4,0,14,13.67,-33.56
42,0,0,4,0,15,13.64,-33.77
42,0,0,4,1,0,13.17,-33.47
42,0,0,4,1,1,13.27,-33.30
42,0,0,4,1,2,13.26,-33.34
42,0,0,4,1,3,13.36,-33.40
42,0,0,4,1,4,13.38,-33.38
42,0,0,4,1,5,13.49,-33.37
42,0,0,4,1,6,13.48,-33.43
42,0,0,4,1,7,13.59,-33.14
42,0,0,4,1,8,13.62,-33.66
42,0,0,4,1,9,13.70,-33.94
42,0,0,4,1,10,13.71,-33.84
42,0,0,4,1,11,13.73,-33.76
42,0,0,4,1,12,13.71,-33.39
42,0,0,4,1,13,13.72,-33.78
42,0,0,4,1,14,13.69,-33.38
42,0,0,4,1,15,13.68,-33.71
42,0,0,4,2,0,13.14,-33.34
42,0,0,4,2,1,13.20,-33.33
42,0,0,4,2,2,13.20,-33.06
42,0,0,4,2,3,13.29,-33.12
42,0,0,4,2,4,13.32,-33.24
42,0,0,4,2,5,13.40,-33.19
42,0,0,4,2,6,13.39,-32.98
42,0,0,4,2,7,13.50,-33.01
42,0,0,4,2,8,13.52,-33.17
42,0,0,4,2,9,13.66,-33.74
42,0,0,4,2,10,13.66,-33.63
42,0,0,4,2,11,13.72,-33.41
42,0,0,4,2,12,13.73,-33.73
42,0,0,4,2,13,13.74,-33.46
42,0,0,4,2,14,13.74,-34.15
42,0,0,4,2,15,13.68,-33.84
42,0,0,4,3,0,13.11,-33.34
42,0,0,4,3,1,13.18,-33.23
42,0,0,4,3,2,13.17,-33.09
42,0,0,4,3,3,13.25,-33.37
42,0,0,4,3,4,13.27,-33.14
42,0,0,4,3,5,13.34,-33.10
42,0,0,4,3,6,13.37,-33.57
42,0,0,4,3,7,13.45,-33.32
42,0,0,4,3,8,13.47,-33.30
42,0,0,4,3,9,13.59,-33.55
42,0,0,4,3,10,13.61,-33.66
42,0,0,4,3,11,13.69,-33.25
42,0,0,4,3,12,13.72,-33.55
42,0,0,4,3,13,13.72,-33.70
42,0,0,4,3,14,13.72,-33.74
42,0,0,4,3,15,13.67,-33.86
42,0,0,4,4,0,13.09,-33.52
42,0,0,4,4,1,13.15,-33.46
42,0,0,4,4,2,13.13,-33.05
42,0,0,4,4,3,13.20,-33.09
42,0,0,4,4,4,13.21,-33.22
42,0,0,4,4,5,13.29,-33.04
42,0,0,4,4,6,13.29,-33.26
42,0,0,4,4,7,13.38,-33.13
42,0,0,4,4,8,13.40,-33.14
42,0,0,4,4,9,13.54,-33.27
42,0,0,4,4,10,13.52,-32.99
42,0,0,4,4,11,13.67,-33.31
42,0,0,4,4,12,13.71,-33.83
42,0,0,4,4,13,13.72,-33.61
42,0,0,4,4,14,13.69,-33.34
42,0,0,4,4,15,13.65,-33.29
42,0,0,4,5,0,13.04,-33.60
42,0,0,4,5,1,13.10,-33.64
42,0,0,4,5,2,13.08,-33.28
42,0,0,4,5,3,13.16,-33.22
42,0,0,4,5,4,13.19,-33.53
42,0,0,4,5,5,13.26,-33.41
42,0,0,4,5,6,13.25,-33.37
42,0,0,4,5,7,13.34,-33.40
42,0,0,4,5,8,13.35,-33.21
42,0,0,4,5,9,13.44,-33.10
42,0,0,4,5,10,13.47,-33.56
