BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A1,ANT1,testmode22_2024_1210_1040.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96E    ,21.09,3.35,NA,NA,NA
BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,15.34,-42.23,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.93,-43.42,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D64    ,14.14,-42.70,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.47,-43.41,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.17,-42.50,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.00,-44.58,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.14,-42.90,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,19.11,-22.36,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96F    ,21.26,3.90,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,14.68,-44.60,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.78,-43.87,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D63    ,14.42,-43.70,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.68,-44.07,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,13.77,-43.90,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.48,-43.42,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.50,-43.83,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,18.71,-23.58,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96F    ,21.03,3.86,NA,NA,NA
BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A3,ANT0,testmode22_2024_1210_1040.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,15.17,-43.21,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,15.85,-43.19,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D65    ,15.01,-41.57,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.20,-44.25,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.08,-44.03,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.95,-44.26,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.01,-42.62,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB69    ,19.06,-22.50,NA,NA,NA
#A3,ANT0,testmode22_2024_1210_1040.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD970    ,21.18,3.80,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,14.41,-45.66,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,15.87,-43.52,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D64    ,15.52,-44.13,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.72,-44.02,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.81,-43.51,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.39,-43.85,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.52,-43.84,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,18.52,-24.08,NA,NA,NA
#A3,ANT1,testmode22_2024_1210_1040.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD970    ,20.91,4.03,NA,NA,NA
