Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,test_band
vb_sense,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF
vtst<3>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF
vbcscd_sense,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF
vtst<1>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF
dvdd_reg,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF
vtst<2>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF
v1p1,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF
vtst<0>,WF,dac1,wf_pu_msadc,1'b1,wf_test_enable_dac1,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF
,,,,,,,,,,,,
avdd_logic,CM,mdll,wf_pu_msadc,1'b1,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,CM
avdd_logic_dig,CM,mdll,wf_pu_msadc,1'b1,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,CM
cp_out0,CM,mdll,wf_pu_msadc,1'b1,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,CM
cp_out1,CM,mdll,wf_pu_msadc,1'b1,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF0_TX_ON,CM
,,,,,,,,,,,,
avdd_sw,IO,bbpll_multi1p5,wf_pu_msadc,1'b1,io_rsvd_bit<4>,1'b1,na,na,io_test_bit<1:0>,3'b011,WF0_TX_ON,IO
dvdd_sw,IO,bbpll_multi1p5,wf_pu_msadc,1'b1,io_rsvd_bit<4>,1'b1,na,na,io_test_bit<1:0>,3'b010,WF0_TX_ON,IO
vbp_mont,IO,bbpll_multi1p5,wf_pu_msadc,1'b1,io_rsvd_bit<4>,1'b1,na,na,io_test_bit<1:0>,3'b001,WF0_TX_ON,IO
vbn_mont,IO,bbpll_multi1p5,wf_pu_msadc,1'b1,io_rsvd_bit<4>,1'b1,na,na,io_test_bit<1:0>,3'b000,WF0_TX_ON,IO
,,,,,,,,,,,,
dvdd,WF,bbpll_dac,wf_pu_msadc,1'b1,wf_test_enable_bbpll_dac,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF
avdd_vco,WF,bbpll_dac,wf_pu_msadc,1'b1,wf_test_enable_bbpll_dac,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF
,,,,,,,,,,,,
avdd13_sw,WF,vco_lb,wf_pu_msadc,1'b1,wf_test_enable_lb_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_LB
reg_vco,WF,vco_lb,wf_pu_msadc,1'b1,wf_test_enable_lb_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_LB
reg_buf,WF,vco_lb,wf_pu_msadc,1'b1,wf_test_enable_lb_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_LB
avdd13_sw,WF,vco_hb,wf_pu_msadc,1'b1,wf_test_enable_hb_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_HB
reg_vco,WF,vco_hb,wf_pu_msadc,1'b1,wf_test_enable_hb_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
reg_buf,WF,vco_hb,wf_pu_msadc,1'b1,wf_test_enable_hb_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_HB
,,,,,,,,,,,,
avdd_sw,WF,vco_bus,wf_pu_msadc,1'b1,wf_lo_rsvd_bit,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF
dvdd_sw,WF,vco_bus,wf_pu_msadc,1'b1,wf_lo_rsvd_bit,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF
vbp_mont,WF,vco_bus,wf_pu_msadc,1'b1,wf_lo_rsvd_bit,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF
vbn_mont,WF,vco_bus,wf_pu_msadc,1'b1,wf_lo_rsvd_bit,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF
vbn_mont,WF,vco_bus,wf_pu_msadc,1'b1,wf_lo_rsvd_bit,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF
vbp_mont,WF,vco_bus,wf_pu_msadc,1'b1,wf_lo_rsvd_bit,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF
,,,,,,,,,,,,
dvdd_dll,WF,hb0_logen,wf_pu_msadc,1'b1,wf_test_enable_hb0_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_HB
dvdd_phase_mux,WF,hb0_logen,wf_pu_msadc,1'b1,wf_test_enable_hb0_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
pd_out_mont,WF,hb0_logen,wf_pu_msadc,1'b1,wf_test_enable_hb0_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_HB
dvdd_dll,WF,lb0_logen,wf_pu_msadc,1'b1,wf_test_enable_lb0_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF_LB
dvdd_phase_mux,WF,lb0_logen,wf_pu_msadc,1'b1,wf_test_enable_lb0_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_LB
vbp_mont,WF,lb0_logen,wf_pu_msadc,1'b1,wf_test_enable_lb0_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_LB
vbn_mont,WF,lb0_logen,wf_pu_msadc,1'b1,wf_test_enable_lb0_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF_LB
dvdd_dll,WF,hb1_logen,wf_pu_msadc,1'b1,wf_test_enable_hb1_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF_HB
dvdd_phase_mux,WF,hb1_logen,wf_pu_msadc,1'b1,wf_test_enable_hb1_logen,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF_HB
