Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
58,0,4,2,4,15,13.01,-35.57
58,0,4,2,5,15,12.79,-36.01
58,0,4,2,6,15,12.61,-36.66
58,0,4,2,7,15,12.27,-36.17
106,0,4,2,0,15,14.08,-35.35
106,0,4,2,1,15,14.09,-36.10
106,0,4,2,2,15,13.99,-35.12
106,0,4,2,3,15,13.95,-36.26
106,0,4,2,4,15,13.82,-36.26
106,0,4,2,5,15,13.59,-35.70
106,0,4,2,6,15,13.43,-36.83
106,0,4,2,7,15,13.18,-36.93
122,0,4,2,0,15,13.62,-37.07
122,0,4,2,1,15,13.60,-37.12
122,0,4,2,2,15,13.55,-36.91
122,0,4,2,3,15,13.49,-37.47
122,0,4,2,4,15,13.37,-37.57
122,0,4,2,5,15,13.22,-37.85
122,0,4,2,6,15,13.02,-37.74
122,0,4,2,7,15,12.78,-38.49
138,0,4,2,0,15,13.64,-38.40
138,0,4,2,1,15,13.68,-38.34
138,0,4,2,2,15,13.50,-38.35
138,0,4,2,3,15,13.48,-38.62
138,0,4,2,4,15,13.43,-38.58
138,0,4,2,5,15,13.26,-38.75
138,0,4,2,6,15,13.01,-38.15
138,0,4,2,7,15,12.81,-38.27
155,0,4,2,0,15,12.92,-39.07
155,0,4,2,1,15,12.87,-39.34
155,0,4,2,2,15,12.89,-39.03
155,0,4,2,3,15,12.81,-39.07
155,0,4,2,4,15,12.69,-39.08
155,0,4,2,5,15,12.51,-38.78
155,0,4,2,6,15,12.27,-38.86
155,0,4,2,7,15,11.99,-38.25
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,4,2,7,0,12.26,-35.33
42,0,4,2,7,2,12.32,-34.82
42,0,4,2,7,4,12.40,-34.84
42,0,4,2,7,6,12.47,-34.84
42,0,4,2,7,8,12.55,-34.83
42,0,4,2,7,10,12.64,-35.31
42,0,4,2,7,12,12.68,-35.62
42,0,4,2,7,14,12.56,-36.31
58,0,4,2,7,0,12.11,-35.96
58,0,4,2,7,2,12.18,-36.04
58,0,4,2,7,4,12.23,-35.61
58,0,4,2,7,6,12.31,-35.83
58,0,4,2,7,8,12.39,-35.94
58,0,4,2,7,10,12.46,-36.39
58,0,4,2,7,12,12.52,-36.33
58,0,4,2,7,14,12.41,-36.72
106,0,4,2,7,0,13.07,-35.77
106,0,4,2,7,2,13.16,-36.35
106,0,4,2,7,4,13.22,-36.24
106,0,4,2,7,6,13.26,-35.87
106,0,4,2,7,8,13.30,-35.95
106,0,4,2,7,10,13.39,-36.33
106,0,4,2,7,12,13.39,-36.89
106,0,4,2,7,14,13.28,-37.62
